Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14
"Cheung, Leland",2017,-432,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585
"Devls, Henrietta",1436,91,1527,16,1543,12,1555,1,1556,2,1558,2,1560,6,1566,19,1585,0,1585,0,1585,0,1585,0,1585,0,1585
"Decker, Marjorie c.",1123,47,1170,14,1184,26,1210,1,1211,2,1213,2,1215,9,1224,12,1236,39,1275,35,1310,79,1389,190,1579,6,1585
"Kelley, Craig A.",1098,51,1149,9,1158,10,1168,1,1169,3,1172,6,1178,8,1186,10,1196,53,1249,139,1388,45,1433,152,1585,0,1585
"Maher, David P.",1686,0,1686,0,1686,-101,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585
"Merquardt, Charles J.",501,19,520,8,528,3,531,1,532,4,536,3,539,16,555,8,563,25,588,-588,0,0,0,0,0,0,0
"Mello, Gary W.",135,4,139,2,141,1,142,0,142,6,148,6,154,-154,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moree, Gregg J.",56,2,58,3,61,1,62,0,62,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nelson, Matthew P.",542,12,554,10,564,2,566,1,567,4,571,4,575,10,585,11,596,18,614,65,679,-679,0,0,0,0,0
"Pascual, Jamake",63,1,64,0,64,2,66,0,66,1,67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reeves, Kenneth E.",1013,28,1041,13,1054,6,1060,1,1061,4,1065,4,1069,12,1081,9,1090,17,1107,25,1132,54,1186,102,1288,297,1585
"Seldel, Sam",788,48,836,5,841,8,849,0,849,3,852,1,853,2,855,12,867,52,919,37,956,84,1040,-1040,0,0,
"Simmons, E. Denise",1266,37,1303,21,1324,11,1335,0,1335,5,1340,5,1345,9,1354,17,1371,24,1395,24,1419,69,1488,97,1585,0,1585
"Stohlman, Thomas J. Jr.",344,16,360,2,362,3,365,1,366,3,369,10,379,12,391,20,411,-411,0,0,0,0,0,0,0,0,0
"Toomey, Timothy J., Jr.",1705,0,1705,-120,1585,0,1585,0,1585,0,1585,0,1585,,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585
"vanBauzekom, Minka Y.",1038,56,1094,2,1096,4,1100,1,1101,5,1106,2,1108,17,1125,30,1155,95,1250,65,1315,97,1412,163,1575,10,1585
"Ward, Larry W.",835,19,854,12,866,11,877,0,877,1,878,5,883,13,896,25,921,26,947,53,1000,123,1123,106,1229,-1229,0
"Wllliamson, James M.",175,1,176,3,179,1,180,1,181,2,183,6,189,7,196,-196,0,0,0,0,0,0,0,0,0,0,0
WRITTEN-IN P1,15,0,15,0,15,0,15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,9,0,9,0,9,0,9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,0,0,15,15,17,32,11,43,33,76,23,99,62,161,145,306,128,434,230,664,916,1580
Invalid,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126,0,126
Total,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971,0,15971
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,11/8/2011,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates Counted,11/8/2011,11/9/2011,,,,,,,,,,,,,,,,,,,,,,,,,
Total,15971,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1585,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Cheung, Leland",,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Toomey, Timothy J.,Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Maher, David",,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Davis, Henrietta",,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Kelly, Craig A.",,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Decker, Majorie C.",,,,,,,,,,,,,,,,,,,,,,,,,,
8,"vanBeuzekom, Minka Y.",,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Reeves, Kenneth E.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/2011municipalelection/citycouncilofficialresults.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
