Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13
"Azeem, Burhan",1379,187,1566,1,1567,2,1569,1,1570,4,1574,15,1589,54,1643,100,1743,67,1810,145,1955,153,2108,74,2182
"Bullister, Dana",520,25,545,3,548,10,558,3,561,13,574,8,582,17,599,-599,0,0,0,0,0,0,0,0,0
"Carlone, Dennis J.",1493,51,1544,0,1544,6,1550,4,1554,6,1560,9,1569,11,1580,83,1663,39,1702,60,1762,420,2182,0,2182
"Eckstut, Robert",70,4,74,0,74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hicks, Tonia D.",363,46,409,1,410,9,419,1,420,5,425,24,449,-449,0,0,0,0,0,0,0,0,0,0,0
"Levy, Ilan",97,2,99,0,99,2,101,2,103,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallon, Alanna M.",1220,332,1552,0,1552,4,1556,6,1562,5,1567,31,1598,43,1641,72,1713,92,1805,109,1914,169,2083,99,2182
"McGovern, Marc C.",1539,229,1768,5,1773,3,1776,9,1785,5,1790,44,1834,21,1855,32,1887,86,1973,82,2055,127,2182,0,2182
"McGuirk, Joe",611,30,641,0,641,4,645,14,659,6,665,17,682,14,696,31,727,-727,0,0,0,0,0,0,0
"Moree, Gregg J.",80,3,83,0,83,1,84,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nolan, Patricia M.",1971,172,2143,2,2145,6,2151,8,2159,8,2167,11,2178,4,2182,0,2182,0,2182,0,2182,0,2182,0,2182
"Pierre, Frantz",355,27,382,0,382,0,382,2,384,0,384,-384,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siddiqui, Sumbul",4124,-1942,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182
"Simmons, E. Denise",1764,324,2088,1,2089,2,2091,4,2095,8,2103,79,2182,0,2182,0,2182,0,2182,0,2182,0,2182,0,2182
"Skeadas, Theodora Theo",813,98,911,4,915,0,915,2,917,4,921,7,928,49,977,69,1046,58,1104,-1104,0,0,0,0,0
"Sobrinho-Wheeler, Jivan",1225,138,1363,2,1365,7,1372,1,1373,4,1377,3,1380,49,1429,46,1475,59,1534,187,1721,177,1898,-1898,0
"Toner, Paul F.",1703,53,1756,0,1756,3,1759,12,1771,5,1776,16,1792,9,1801,12,1813,139,1952,60,2012,84,2096,86,2182
"Williams, Nicola A.",1159,85,1244,0,1244,1,1245,4,1249,9,1258,41,1299,95,1394,68,1462,35,1497,193,1690,-1690,0,0,0
"Zondervan, Quinton Y.",1295,136,1431,1,1432,4,1436,0,1436,7,1443,14,1457,45,1502,47,1549,43,1592,185,1777,335,2112,70,2182
Write-In 1,32,0,32,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 9,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,13,13,10,23,11,34,14,48,65,113,38,151,39,190,109,299,83,382,225,607,1569,2176
Invalid,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260,0,260
Total,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814,0,21814
,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 2, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 12, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Total,22074,,,,,,,,,,,,,,,,,,,,,,,,
Quota,2182,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 12, 2021",,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,
1,"Siddiqui, Sumbul",,,,,,,,,,,,,,,,,,,,,,,,
2,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,
3,"Nolan, Patricia M.",,,,,,,,,,,,,,,,,,,,,,,,
4,"Carlone, Dennis J.",,,,,,,,,,,,,,,,,,,,,,,,
5,"McGovern, Marc C.",,,,,,,,,,,,,,,,,,,,,,,,
6,"Azeem, Burhan",,,,,,,,,,,,,,,,,,,,,,,,
7,"Zondervan, Quinton Y.",,,,,,,,,,,,,,,,,,,,,,,,
8,"Mallon, Alanna M.",,,,,,,,,,,,,,,,,,,,,,,,
9,"Toner, Paul F.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2021/11/2021municipalelectionofficialresults,,,,,,,,,,,,,,,,,,,,,,,,
