Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17
Adrienne Klein,455,22,477,0,477,15,492,12,504,3,507,9,516,6,522,7,529,16,545,35,580,-580,0,0,0,0,0,0,0,0,0,0,0
Ayah A. Al-Zubi,829,48,877,1,878,8,886,5,891,1,892,10,902,3,905,14,919,59,978,10,988,60,1048,17,1065,55,1120,333,1453,72,1525,-1525,0
Ayesha M. Wilson,1168,155,1323,1,1324,7,1331,46,1377,11,1388,22,1410,13,1423,24,1447,72,1519,31,1550,60,1610,54,1664,166,1830,132,1962,259,2221,113,2334
Burhan Azeem,2250,84,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334
Carrie E. Pasquarello,256,3,259,4,263,3,266,3,269,-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catherine Zusy,784,11,795,3,798,2,800,2,802,18,820,20,840,47,887,58,945,18,963,94,1057,24,1081,120,1201,53,1254,39,1293,-1293,0,0,0
Dan J. Totten,770,32,802,1,803,4,807,4,811,1,812,6,818,4,822,9,831,62,893,10,903,53,956,14,970,73,1043,-1043,0,0,0,0,0
Douglas P. Brown,407,6,413,1,414,5,419,3,422,7,429,18,447,32,479,30,509,12,521,-521,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Denise Simmons,1450,168,1618,2,1620,4,1624,59,1683,18,1701,21,1722,17,1739,22,1761,40,1801,25,1826,68,1894,53,1947,187,2134,110,2244,90,2334,0,2334
Federico Muchnik,334,3,337,5,342,3,345,2,347,5,352,13,365,21,386,-386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frantz Pierre,224,11,235,1,236,3,239,-239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregg J. Moree,27,1,28,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hao Wang,256,6,262,0,262,26,288,5,293,11,304,-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jivan G. Sobrinho-Wheeler,1486,125,1611,3,1614,8,1622,12,1634,0,1634,3,1637,2,1639,12,1651,61,1712,32,1744,143,1887,11,1898,153,2051,283,2334,0,2334,0,2334
Joan F. Pickett,932,6,938,4,942,5,947,4,951,33,984,21,1005,41,1046,59,1105,5,1110,40,1150,25,1175,385,1560,83,1643,15,1658,483,2141,107,2248
Joe McGuirk,699,24,723,5,728,10,738,7,745,11,756,7,763,6,769,17,786,20,806,22,828,60,888,49,937,-937,0,0,0,0,0,0,0
John Hanratty,610,3,613,1,614,1,615,0,615,21,636,15,651,29,680,38,718,5,723,81,804,12,816,-816,0,0,0,0,0,0,0,0,0
Marc C. McGovern,2064,189,2253,3,2256,18,2274,16,2290,16,2306,25,2331,3,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334
Patricia M. Nolan,2156,69,2225,3,2228,13,2241,9,2250,8,2258,40,2298,36,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334
Paul F. Toner,1987,29,2016,2,2018,4,2022,13,2035,59,2094,26,2120,59,2179,59,2238,16,2254,80,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334
Peter Hsu,151,6,157,1,158,-158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Winters,316,4,320,0,320,0,320,0,320,19,339,13,352,-352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumbul Siddiqui,3353,-1019,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334,0,2334
Vernon K. Walker,352,13,365,0,365,4,369,13,382,4,386,2,388,4,392,14,406,-406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-in 1,22,1,23,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-in 2,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,11,11,15,26,24,50,23,73,33,106,29,135,23,158,20,178,61,239,75,314,113,427,167,594,131,725,389,1114,1305,2419
Invalid,173,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0,173,0
Total,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339,0,23339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 7, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 17, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sumbul Siddiqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Burhan Azeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Marc C. McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Patricia M. Nolan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Paul F. Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
