Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15
"Akiba, Sukia",362,7,369,2,371,5,376,8,384,3,387,11,398,17,415,-415,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azeem, Burhan",961,34,995,0,995,3,998,2,1000,11,1011,10,1021,31,1052,76,1128,18,1146,17,1163,53,1216,126,1342,-1342,0,0,0
"Carlone, Dennis J.",1479,10,1489,0,1489,0,1489,13,1502,26,1528,18,1546,28,1574,12,1586,63,1649,78,1727,95,1822,40,1862,62,1924,200,2124
"Franklin, Charles J.",323,6,329,3,332,5,337,7,344,5,349,21,370,-370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelley, Craig A.",1422,12,1434,1,1435,3,1438,9,1447,9,1456,8,1464,17,1481,14,1495,70,1565,110,1675,70,1745,62,1807,57,1864,-1864,0
"Kopon, Derek Andrew",493,1,494,3,497,2,499,12,511,4,515,5,520,26,546,13,559,-559,0,0,0,0,0,0,0,0,0,0,0
"Levy, Ilan",110,1,111,2,113,4,117,-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallon, Alanna M.",1256,74,1330,1,1331,3,1334,4,1338,25,1363,13,1376,19,1395,60,1455,20,1475,25,1500,52,1552,220,1772,352,2124,0,2124
"McGovern, Marc C.",1621,32,1653,3,1656,7,1663,2,1665,18,1683,12,1695,24,1719,19,1738,15,1753,32,1785,38,1823,151,1974,150,2124,0,2124
"McNary, Jeffery",77,0,77,3,80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mednick, Risa",244,8,252,0,252,6,258,2,260,-260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moree, Gregg J.",47,0,47,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musgrave, Adriane",726,21,747,4,751,5,756,1,757,29,786,4,790,23,813,26,839,25,864,12,876,35,911,-911,0,0,0,0,0
