Unique Identifier,Department,Category,Policy Order,Link,Description
AR-16-101,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #318,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=3815&CssClass=,Report on the potential of building below market rental housing on City-owned parking lots along Bishop Allen Drive. On a communication from Councillor McGovern requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-16-108,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #332,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=3890&CssClass=,Report on whether people displaced and qualify for Emergency Status who are using Section 8 in other cities or towns can retain their resident preference for the purpose of Inclusionary Housing. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-18-38,City Manager's Office,Awaiting Report,POR 2018 #83,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=6707&CssClass=,"Report on inventory of all City-owned vacant buildings and lots and the City's plans for them, if any."
AR-18-60,City Manager's Office,Awaiting Report,POR 2018 #133,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=7224&CssClass=,Report on a small business parking pilot that would allow temporary on-street employee parking during typical daytime operating hours.
AR-18-66,City Manager's Office,Awaiting Report,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=7370&CssClass=,Report on establishing a Young Adult Civic Unity Committee to be modeled after the Citizen Civic Unity Committee and to recruit applicants from all across the community and across all socio-economic backgrounds.
AR-18-73,City Manager's Office,Awaiting Report,POR 2018 #172,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=7391&CssClass=,Report on establishing and implementing a dynamic new initiative that will seek to place Port residents (ages 18 and over) on paths to jobs with family-sustaining wages.
AR-18-119,City Manager's Office,Awaiting Report,POR 2018 #271,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=7987&CssClass=,"Report on evaluating the existing capacity of fire stations in the Kendall Square area and whether a new fire station is needed, and if so, determining the feasibility of locating a plot of land for this use."
AR-19-3,City Manager's Office,Awaiting Report,POR 2019 #6,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=8452&CssClass=,Report on establishing a Central Square Improvement Fund and allocate no less than 25% of funds generated to the arts.
AR-19-21,City Manager's Office,Awaiting Report,POR 2019 #58,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=8746&CssClass=,"Report on the process for establishing a formal, thorough review of the City’s Affordable Home Ownership programs, incorporating a plan for obtaining and analyzing substantial quantitative data inclusive of all types of units."
AR-19-22,City Manager's Office,Awaiting Report,POR 2019 #60,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=8748&CssClass=,"Report on the feasibility of allowing small businesses to host live acoustic music performances without a license, and if feasible, present the City Council with a proposal to allow such performances."
AR-19-45,City Manager's Office,Awaiting Report,POR 2019 #126,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9056&CssClass=,"Report on compiling a full accounting of streets, schools, and public buildings that may be named in honor of those who have ties to the American slave trade, and to work towards renaming all of these streets, schools, and buildings."
AR-19-49,City Manager's Office,Awaiting Report,POR 2019 #137,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9061&CssClass=,Report on recommending restrictions on signage specific to retail establishments that sell e-cigarettes and other vaping devices.
AR-19-58,City Manager's Office,Awaiting Report,POR 2019 #172,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9340&CssClass=,Report on working with the Recycling Advisory Committee and other stakeholders to draft an ordinance banning single-use plastic items in Cambridge.
AR-19-62,City Manager's Office,Awaiting Report,POR 2019 #177,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9390&CssClass=,Report on drafting a formal Anti-bias /Cultural Competency Strategic Plan for eventual adoption and implementation.
AR-19-66,City Manager's Office,Awaiting Report,POR 2019 #184,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9494&CssClass=,"Report on whether it is possible to reduce or eliminate Building Permit Fees for 100% affordable housing development projects, through an exemption or other means and investigate what types of real estate tax abatements are possible for 100% affordable housing moving forward."
AR-19-74,City Manager's Office,Awaiting Report,POR 2019 #201,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9595&CssClass=,"Report on establishing a working committee to review the monuments, memorials, and markers throughout Cambridge to determine whether any of these commemorate those who were linked to the slave trade or engaged in other similarly shameful acts and to determine which individuals should be newly recognized with a monument, memorial, or marker."
AR-19-75,City Manager's Office,Awaiting Report,POR 2019 #202,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9596&CssClass=,Report on  exploring the feasibility of partnering with a local research institution to conduct a study that determines how many ridehail vehicles are on the roads during both on and off-peak times and their impacts on congestion and safety.
AR-19-86,City Manager's Office,Awaiting Report,POR 2019 #225,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9690&CssClass=,Report on developing a Vacant Storefront Registration Policy.
AR-19-100,City Manager's Office,Awaiting Report,POR 2019 #253,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9961&CssClass=,Report on the feasibility of implementing an additional regulatory requirement for listing a registration/license number for Short-Term Rentals.
AR-19-117,City Manager's Office,Awaiting Report,POR 2019 #297,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10389&CssClass=,"Report on the data from the Summer 2019 meals program, including participation rates and number of meals served."
AR-19-118,City Manager's Office,Awaiting Report,POR 2019 #302,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10390&CssClass=,"Report on establishing a series of forums designed to inform Cambridge seniors about the recent wave of financial scams that they must be mindful of, with information as to how they can best protect themselves."
AR-19-120,City Manager's Office,Awaiting Report,POR 2019 #304,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10392&CssClass=,Report on directing enforcement resources towards Bishop Allen Drive and other corridors with lots of vehicular idling and work with rideshare companies to ask them to develop technologies solutions to help alert drivers to the fact that they are illegally idling.
AR-19-123,City Manager's Office,Awaiting Report,POR 2019 #321,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10566&CssClass=,Report on the feasibility of closing some portion of Harvard Square to vehicular traffic on a select number of days during the summer of 2020 to have open market-style events.
AR-19-127,City Manager's Office,Awaiting Report,POR 2019 #328,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10570&CssClass=,"Report on instituting regularly scheduled public conversations between Public Utilities' representatives from Eversource, the Water Dept. Comcast, Verizon and any other appropriate entities to keep the City and public informed."
AR-19-128,City Manager's Office,Awaiting Report,POR 2019 #331,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10571&CssClass=,Report on allocating more funds in the FY21 budget to Inspectional Services and on the feasibility of providing monetary compensation to homeowners who have had to self-finance traps and what funds could be allocated in the future to help homeowners buy traps.
AR-19-130,City Manager's Office,Awaiting Report,POR 2019 #334,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10573&CssClass=,Report on requesting to allocate more funds in the FY21 budget for the small business improvement grants and to confer with the Massachusetts Attorney General’s office on whether other cities in Massachusetts have been facing similar issues with ADA compliance and what can be done to protect the small businesses.
AR-19-132,City Manager's Office,Awaiting Report,POR 2019 #338,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10575&CssClass=,Report on planting new trees in Magazine Beach Park in the Spring of 2020 with a special focus on the eastern end of the park and the grove area.
AR-19-134,City Manager's Office,Awaiting Report,POR 2019 #340,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10577&CssClass=,"Report on increasing funding to the City’s HomeBridge program so that access to homeownership may be made available to a wider range of incomes, as the program intends."
AR-19-137,City Manager's Office,Awaiting Report,POR 2019 #311,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10580&CssClass=,Report on determining if ISD can be given the authority to issue citations for smoking in non-smoking buildings and to report back to the City Council.
AR-19-139,City Manager's Office,Awaiting Report,POR 2019 #313,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10582&CssClass=,Report on determining whether it would be possible to allow a permitted area for serving alcoholic beverages on Danehy Park property during special community-wide events.
AR-19-141,City Manager's Office,Awaiting Report,POR 2019 #316,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10584&CssClass=,Report on looking into the idea of hiring a social worker in the FY2021 budget for the Central Square Library branch.
AR-19-142,City Manager's Office,Awaiting Report,POR 2019 #342,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10687&CssClass=,Report on determining the feasibility of expediting the Demolition and Rebuilding permitting process in the event of a natural disaster.
AR-19-143,City Manager's Office,Awaiting Report,POR 2019 #343,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10689&CssClass=,Report on the feasibility of piloting a program of assigning additional security officers to work collaboratively with and exclusively within Cambridge Housing Authority premises in and near Central Square and the Port.
AR-19-144,City Manager's Office,Awaiting Report,POR 2019 #345,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10690&CssClass=,Report on determining the feasibility of instituting and funding a Fire Cadet Program.
AR-19-145,City Manager's Office,Awaiting Report,POR 2019 #348,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10692&CssClass=,"Report on reviewing all the City’s policies and procedures related to the procurement, installation and disposal of artificial turf."
AR-19-147,City Manager's Office,Awaiting Report,POR 2019 #354,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10737&CssClass=,"Report on installing hearing loop technology inside the Sullivan Chamber as part of the upcoming renovations to City Hall, and in other critical City meeting venues wherever possible and other accessibility improvements."
AR-19-151,City Manager's Office,Awaiting Report,POR 2019 #360,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10742&CssClass=,Report on the  feasibility of making Porter Square and Massachusetts Avenue between Roseland Street and Beech Street a quick-build Complete Street with bus priority.
AR-19-157,City Manager's Office,Awaiting Report,POR 2019 #374,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10918&CssClass=,Report on providing an update of when the public Police Dashboard will be fully operational.
AR-19-159,City Manager's Office,Awaiting Report,POR 2019 #377,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10921&CssClass=,Report on ways to review safety and devise any safety interventions at the corner of Saville Street and Walden Street
AR-19-106,City Manager's Office,Awaiting Report,POR 2019 #277,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10291&CssClass=,"Report on conducting City directed environmental testing on the Sullivan Courthouse building and water in basement, to determine the risk posed to the public, and provide a timeline of completion and to establish an operational understanding directly with DCAMM officials and ask for a state designee for communication/coordination on how the building will be secured and monitored."
AR-19-153,City Manager's Office,Awaiting Report,POR 2019 #365,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10805&CssClass=,Report on plans designed to mitigate the impact of the closing of Windsor House upon Cambridge seniors.
AR-20-1,City Manager's Office,Awaiting Report,POR 2020 #2,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11165&CssClass=,Report on the work that has been done to Support Small Business and the Arts through Tourism.
AR-20-2,City Manager's Office,Awaiting Report,POR 2020 #6,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11265&CssClass=,"Report on updating the department’s maintenance plan with an emphasis on cleaning open-trash receptacles more frequently and report back to the council no later than February 10, 2020."
AR-20-3,City Manager's Office,Awaiting Report,POR 2020 #7,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11266&CssClass=,Report on determining the feasibility of purchasing sensory bags for Police vehicles as a pilot program and report back to council for FY21 Budget.
AR-20-4,City Manager's Office,Awaiting Report,POR 2020 #10,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11267&CssClass=,Report on the feasibility of instituting and funding a fare-free pilot bus program.
AR-20-5,City Manager's Office,Awaiting Report,POR 2020 #12,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11268&CssClass=,Report on the potential for implementing sufficient traffic-calming solutions on Upton Street.
AR-20-6,City Manager's Office,Awaiting Report,POR 2020 #13,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11269&CssClass=,Report on the acquisition and implementation of interpretation services for City Council meetings and other public City meetings.
AR-20-7,City Manager's Office,Awaiting Report,POR 2020 #18,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11323&CssClass=,"Report on reviewing the roles, responsibilities, and compensation of City Council Aides with an eye toward designating this as a full-time position."
AR-20-8,City Manager's Office,Awaiting Report,POR 2020 #21,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11324&CssClass=,Report on working with the residents in the vicinity of Eustis Street to implement traffic calming measures on this street.
AR-20-9,City Manager's Office,Awaiting Report,POR 2020 #17,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11346&CssClass=,"Report on allocating the necessary funds, and develop a comprehensive public safety plan, including contingency plans so that the event can take place in a secure time and place, even in the presence of significant threats that can be anticipated."
AR-20-10,City Manager's Office,Awaiting Report,POR 2020 #25,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11362&CssClass=,Report on renaming the Agassiz neighborhood.
AR-20-11,City Manager's Office,Awaiting Report,POR 2020 #26,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11364&CssClass=,"Report on the process for renaming the maintenance area within the Ryan Garage at 147 Hampshire Street in honor of Sydney Cox, with this becoming known as the “Sydney James Cox Maintenance Facility."
AR-20-12,City Manager's Office,Awaiting Report,POR 2020 #28,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11365&CssClass=,Report on the feasibility of instituting a program to install rings on parking meters to expand bicycle parking options.
AR-20-13,City Manager's Office,Awaiting Report,POR 2020 #30,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11367&CssClass=,"Report on expanding the Head Start program hours and adding additional scholarships to improve access to high-quality, early childhood educational resources."
AR-20-14,City Manager's Office,Awaiting Report,POR 2020 #19,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11371&CssClass=,"Report on working in conjunction with the MBTA to provide an update on the Lechmere Station closure, the replacement bus services and the community outreach they plan on executing."
AR-20-15,City Manager's Office,Awaiting Report,POR 2020 #35,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11441&CssClass=,Report on the feasibility of limiting the number of Saturdays and holidays any one developer can be permitted for any one construction project.
AR-20-16,City Manager's Office,Awaiting Report,POR 2020 #36,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11442&CssClass=,Report on the feasibility of eliminating Library fines.
AR-20-17,City Manager's Office,Awaiting Report,POR 2020 #37,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11443&CssClass=,Report on adding lighting and implementing an appropriate shut down time to the plan for Glacken Field.
AR-20-18,City Manager's Office,Awaiting Report,POR 2020 #39,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11445&CssClass=,"Report on the feasibility of implementing additional dedicated bus lanes, as well as fully separate protected bicycle lanes."
AR-20-19,City Manager's Office,Awaiting Report,POR 2020 #40,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11446&CssClass=,Report on producing a Request For Proposal for the municipal broadband feasibility study that was called for by the City's Broadband Task Force in August 2016.
AR-20-20,City Manager's Office,Awaiting Report,POR 2020 #43,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11494&CssClass=,Report on what measures the City can take to prevent an outbreak of the coronavirus and what measures must be initiated to minimize the risk to our community if the pandemic spreads to Massachusetts.
AR-20-21,City Manager's Office,Awaiting Report,POR 2020 #45,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11495&CssClass=,Report on preparing a report on any steps the city has taken to work towards developing a Vacant Storefront Registration Policy.
AR-20-22,City Manager's Office,Awaiting Report,POR 2020 #52,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2594&MediaPosition=&ID=11578&CssClass=,Report on working with the Inspectional Service Department to increase the fines for absentee property owners who continue to have violations stemming for rodent infestations.
AR-20-23,City Manager's Office,Awaiting Report,POR 2020 #104,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2643&MediaPosition=&ID=11898&CssClass=,Report on implementing Simple Recycling' s curbside textile recycling program and report back to the Council on this matter in a timely manner.
AR-20-24,City Manager's Office,Awaiting Report,POR 2020 #117,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2643&MediaPosition=&ID=11899&CssClass=,Report on working with DPW to begin distributing Gator Bags.
AR-20-25,City Manager's Office,Awaiting Report,POR 2020 #124,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12141&CssClass=,Report on changing the name of the bus stop from “Massachusetts Avenue at Churchill Avenue” to “Matignon High School at Churchill Avenue”.
AR-20-26,City Manager's Office,Awaiting Report,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12142&CssClass=,"Report on placing four Anti-Racist Free Little Libraries in a variety of neighborhoods, including the Port (Harvard and Windsor), the Coast (Putnam and Magazine), Brattle Street and North Cambridge (Rindge and Massachusetts Ave.)."
AR-20-27,City Manager's Office,Awaiting Report,POR 2020 #142,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12143&CssClass=,"Report on the advantages and disadvantages of continuing with Civil Service, and the process by which Cambridge could exit Civil Service."
AR-20-28,City Manager's Office,Awaiting Report,POR 2020 #145,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2647&MediaPosition=&ID=12144&CssClass=,Report on immediately publishing a list of all upcoming temporary tow-zones in the Port neighborhood and distribute this list to residents.
AR-20-29,City Manager's Office,Awaiting Report,POR 2020 #156,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12196&CssClass=,"Report on developing new and expanded ways to distribute physical library materials to Cambridge youth over the summer, including possible mobile checkout sites."
AR-20-30,City Manager's Office,Awaiting Report,POR 2020 #157,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12197&CssClass=,"Report on establishing a plan designed to provide a thorough, system-wide review of the entire municipal government to identify and remove any vestiges of systemic racism and/or racial bias in any and all City departments, to establish clear, transparent metrics that will help further this critical endeavor."
AR-20-31,City Manager's Office,Awaiting Report,POR 2020 #159,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12199&CssClass=,Report on determining how to best protect and preserve our commercial spaces that support our small business operators and maintain continuity in our commercial districts.
AR-20-32,City Manager's Office,Awaiting Report,POR 2020 #161,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12200&CssClass=,Report on the feasibility of identifying one evening or day per week that the Fresh Pond Golf Course can be open to the public for general use.
AR-20-35,City Manager's Office,Awaiting Report,POR 2020 #165,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12406&CssClass=,Report on providing an update on the Cambridge Police Patrol Officers’ Association union contract negotiation.
AR-20-36,City Manager's Office,Awaiting Report,POR 2020 #169,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12407&CssClass=,"Report on generating a report detailing the Sole Assessment Process, the Civil Service HRD process, the reason for choosing the Sole Assessment Process over the Civil Service HRD process, and the projected costs associated with both processes."
AR-20-37,City Manager's Office,Awaiting Report,POR 2020 #170,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12408&CssClass=,"Report on considering formally renaming the Central Square Library in honor of Maria Baldwin and Rep. John Lewis, with the building being known as “The Maria Baldwin and Rep. John Lewis Library and Center for African American/Black History and Culture” going forward, or to otherwise find another suitable location for this dedication."
AR-20-38,City Manager's Office,Awaiting Report,POR 2020 #171,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12409&CssClass=,"Report on lessons learned from 2016 and on plans in place to institute water savings measures, and to inform the Water Board of this request.  The City Manager is requested to inform the public as soon as practicable about the possibility of dry and drought conditions, so as to encourage the community to save water.  whenever possible."
AR-20-39,City Manager's Office,Awaiting Report,POR 2020 #175,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12410&CssClass=,"Report on the next steps for restoration, health and environmental protection, improvement, beautification, and making the surrounding areas of Jerry’s Pond publicly accessible and incorporating Jerry's Pond into the adjacent public parklands, with pedestrian and bicycle connections to the MBTA Station, the Alewife Reservation, Minuteman Bikeway, and the Linear Park."
AR-20-40,City Manager's Office,Awaiting Report,POR 2020 #176,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12411&CssClass=,"Report on improving the surrounding landscape for residents who live in the neighboring community and the many individuals who commute through the area via the Alewife Red Line, the Minuteman Bikeway, Rindge Avenue and Alewife Brook Parkway."
AR-20-41,City Manager's Office,Awaiting Report,POR 2020 #149,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12468&CssClass=,"Report on working with the Cambridge Police Department, Emergency Communications Department, Department of Public Health, Department of Human Services and other relevant departments to determine the feasibility of  an alternative Public Safety Crisis Response System, which department would be responsible for it, and how it would be funded and implemented in FY2022."
AR-20-42,City Manager's Office,Awaiting Report,POR 2020 #186,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2705&MediaPosition=&ID=12636&CssClass=,"Report on collaborating with the Cambridge Housing Authority in formulating a plan that will lead to increased enforcement of the parking regulations in front of 150 Erie Street, that will discourage illegal parking in front of the building."
AR-20-43,City Manager's Office,Awaiting Report,POR 2020 #187,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2705&MediaPosition=&ID=12637&CssClass=,"Report on the recurring problem on Columbia Street involving the placement of trash and discarded furniture on the streets during the final weekend of each of the summer months, coinciding with the periods of greatest annual tenant turnover."
AR-20-44,City Manager's Office,Awaiting Report,POR 2020 #190,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2705&MediaPosition=&ID=12638&CssClass=,Report on working to appoint a Vaccine Task Force to develop a plan that keeps equity at the forefront.
