Unique Identifier,Department,Category,Policy Order,Link,Description
AR-16-26,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #86,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=2337&CssClass=,"Report on the possibility of the City Council implementing a zoning change, on the permitting of all new restaurants where a wood-fired oven is used as a significant method of food preparation. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-16-42,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #124,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=2532&CssClass=,"Report on plans for the former Riverside Community Health Center on Western Avenue, including transfer of ownership of the building to the City and the process for determining future usage. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-16-83,"City Manager's Office, LAD V1",Awaiting Report,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=3622&CssClass=,Report on drafting possible legislation and other recommendations for interim actions to identify and address the public health impacts of any commercial wood-fired ovens. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-16-101,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #318,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=3815&CssClass=,Report on the potential of building below market rental housing on City-owned parking lots along Bishop Allen Drive. On a communication from Councillor McGovern requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-16-108,"City Manager's Office, LAD V1",Awaiting Report,POR 2016 #332,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=3890&CssClass=,Report on whether people displaced and qualify for Emergency Status who are using Section 8 in other cities or towns can retain their resident preference for the purpose of Inclusionary Housing. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-17-22,City Manager's Office,Awaiting Report,POR 2017 #59,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=4270&CssClass=,"Report on the potential growth of next-generation wireless technology in the City, to include: the expected footprint of citywide coverage from just one company and what market competition might produce; the integration of public and private infrastructure to support the network; what local standards the City might hope to maintain relative to aesthetics and safety; and how this new technology fits into our Broadband access plans. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-17-33,City Manager's Office,Awaiting Report,POR 2017 #109,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=4698&CssClass=,"Report on bringing Massachusetts closer to 100% renewable energy by 2035, and ensure that the benefits of renewable energy are realized by Massachusetts residents from all walks of life and supporting a goal of using 100% clean and renewable energy in Cambridge, including in building energy use and transportation, by 2035. On a communication from Councillor Devereux requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-17-53,City Manager's Office,Awaiting Report,POR 2017 #171,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5179&CssClass=,"Report on determining if new facilities are needed by either DPW or CFD to best carry out their respective missions in the future and, if so, what type of facilities they would need and how much space that would require and where they might possibly be located. On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-17-60,City Manager's Office,Awaiting Report,POR 2017 #182,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5325&CssClass=,"Report on the feasibility of making the section of Kinnaird Street between River Street and Western Avenue into a one-way.  REFERRED BACK TO THE CITY MANAGER  TO ARRANGE COMMUNITY MEETING ON MOTION OF VICE MAYOR MCGOVERN ON NOVEMBER 13, 2017 . On a communication from Councillor McGovern requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-17-70,City Manager's Office,Awaiting Report,POR 2017 #200,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5335&CssClass=,Report on the status of the City’s plans to review and possibly implement a municipal Broadband system.  On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-17-71,City Manager's Office,Awaiting Report,POR 2017 #201,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5336&CssClass=,"Report on  a proposal to design, fund and implement a bike and electric personal vehicle transportation study to provide the City with a comprehensive explanation of who is going where, why and under what conditions via bike or personal electric vehicle.  On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
AR-17-77,City Manager's Office,Awaiting Report,POR 2017 #213,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5480&CssClass=,Report on the intersection of Cedar Street and Rindge Avenue with the goal of clarifying traffic patterns through the intersection.  On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-17-82,City Manager's Office,Awaiting Report,POR 2017 #222,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5485&CssClass=,Report on possible solutions to regulatory or legislative gaps on the local or state level that would help clarify how emerging types of conveyances can most safely and effectively be incorporated into Cambridge’s Urban Mobility planning and infrastructure investments.  On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-17-86,City Manager's Office,Awaiting Report,POR 2017 #239,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=5536&CssClass=,"Report on the necessary steps to enforce the anti-idling state law in residential areas by the September 25, 2017 City Council meeting.  On a communication from Councillor Kelley requesting that this matter be forwarded to the 2018-2019 Legislative Session."
