Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2018-01-01 Inaugural,City Council,Inaugural,,2018,2018-01-01,10:00 AM,completed,2147,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2147,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1800&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1800&Inline=True
2018-01-08 Regular,City Council,Regular,,2018,2018-01-08,05:30 PM,completed,2061,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2061,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1875&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1875&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1799&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1799&Inline=True
2018-01-16 Public Hearing,City Council,Public Hearing,,2018,2018-01-16,02:30 PM,completed,2179,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2179,,,,
2018-01-22 Regular,City Council,Regular,,2018,2018-01-22,05:30 PM,completed,2062,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2062,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1882&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1882&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1806&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1806&Inline=True
2018-01-29 Regular,City Council,Regular,,2018,2018-01-29,05:30 PM,completed,2063,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2063,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1885&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1885&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1808&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1808&Inline=True
2018-02-05 Regular,City Council,Regular,,2018,2018-02-05,05:30 PM,completed,2064,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2064,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1888&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1888&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1811&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1811&Inline=True
2018-02-12 Regular,City Council,Regular,,2018,2018-02-12,05:30 PM,completed,2081,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2081,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1890&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1890&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1814&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1814&Inline=True
2018-02-13 Roundtable,City Council,Roundtable,,2018,2018-02-13,05:30 PM,completed,2184,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2184,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1892&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1818&Inline=True
2018-02-20 Special,City Council,Special,,2018,2018-02-20,02:00 PM,completed,2193,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2193,,,,
2018-02-26 Regular,City Council,Regular,,2018,2018-02-26,05:30 PM,completed,2082,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2082,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1895&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1895&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1819&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1819&Inline=True
2018-03-05 Regular,City Council,Regular,,2018,2018-03-05,05:30 PM,completed,2091,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2091,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1898&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1898&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1823&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1823&Inline=True
2018-03-12 Regular,City Council,Regular,,2018,2018-03-12,05:30 PM,cancelled,2092,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2092,,,,
2018-03-19 Regular,City Council,Regular,,2018,2018-03-19,05:30 PM,completed,2093,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2093,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1899&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1899&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1826&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1826&Inline=True
2018-03-26 Regular,City Council,Regular,,2018,2018-03-26,05:30 PM,completed,2094,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2094,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1906&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1906&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1827&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1827&Inline=True
2018-04-02 Regular,City Council,Regular,,2018,2018-04-02,05:30 PM,completed,2102,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2102,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1908&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1908&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1828&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1828&Inline=True
2018-04-05 Special,City Council,Special,,2018,2018-04-05,03:00 PM,completed,2214,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2214,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1863&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1863&Inline=True
2018-04-09 Roundtable,City Council,Roundtable,,2018,2018-04-09,05:30 PM,completed,2103,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2103,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1914&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1836&Inline=True
2018-04-23 Regular,City Council,Regular,,2018,2018-04-23,05:30 PM,completed,2104,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2104,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1909&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1909&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1834&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1834&Inline=True
2018-04-30 Regular,City Council,Regular,,2018,2018-04-30,05:30 PM,completed,2105,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2105,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1919&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1919&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1837&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1837&Inline=True
2018-05-07 Regular,City Council,Regular,,2018,2018-05-07,05:30 PM,completed,2140,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2140,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1923&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1923&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1838&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1838&Inline=True
2018-05-14 Special,City Council,Special,,2018,2018-05-14,04:00 PM,completed,2178,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2178,,,,
2018-05-14 Regular,City Council,Regular,,2018,2018-05-14,05:30 PM,completed,2141,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2141,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1926&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1926&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1840&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1840&Inline=True
2018-05-21 Regular,City Council,Regular,,2018,2018-05-21,05:30 PM,completed,2142,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2142,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1928&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1928&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1862&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1862&Inline=True
2018-06-04 Regular,City Council,Regular,,2018,2018-06-04,05:30 PM,completed,2148,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2148,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1933&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1933&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1865&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1865&Inline=True
2018-06-11 Roundtable,City Council,Roundtable,,2018,2018-06-11,05:30 PM,completed,2149,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2149,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1937&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1937&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1875&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1875&Inline=True
2018-06-18 Special,City Council,Special,,2018,2018-06-18,04:30 PM,completed,2192,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2192,,,,
2018-06-18 Regular,City Council,Regular,,2018,2018-06-18,05:30 PM,completed,2150,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2150,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1940&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1940&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1873&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1873&Inline=True
2018-06-25 Regular,City Council,Regular,,2018,2018-06-25,05:30 PM,completed,2151,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2151,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1945&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1945&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1876&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1876&Inline=True
2018-07-30 Regular,City Council,Regular,,2018,2018-07-30,05:30 PM,completed,2186,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2186,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1958&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1958&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1880&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1880&Inline=True
