Candidate,Total,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-2A,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3,9-1,9-2,9-3,10-1,10-2,10-3,11-1,11-2,11-3
Burhan Azeem,1379,42,47,51,21,74,41,64,30,18,71,40,56,19,55,55,53,75,41,38,48,33,12,22,18,4,27,30,23,58,45,35,32,47,54
Dana Bullister,520,20,29,24,11,2,20,20,5,5,15,10,22,2,13,20,18,15,18,28,18,4,4,9,21,,20,21,14,17,40,10,13,18,14
Dennis J. Carlone,1493,46,34,16,22,1,22,20,11,6,32,33,35,2,27,37,29,40,35,52,72,19,8,69,63,4,109,70,35,204,182,59,21,56,22
Robert Eckstut,70,,3,7,,,2,1,2,1,6,6,3,1,3,1,1,3,1,1,2,,,1,,,2,2,3,1,3,1,4,3,6
Tonia D. Hicks,363,8,4,11,23,2,5,11,5,6,14,31,8,7,20,17,13,17,13,8,13,7,2,3,10,2,13,13,11,11,7,11,8,18,11
Ilan Levy,97,9,12,6,1,,2,1,,,2,3,1,1,,3,3,4,2,,3,1,,2,3,1,4,7,4,4,3,7,1,2,5
Alanna M. Mallon,1220,58,37,20,20,2,5,33,14,12,32,38,39,9,29,59,41,87,39,53,66,12,6,21,19,3,76,84,56,47,52,50,14,55,32
Marc C. McGovern,1539,36,28,34,40,4,22,23,13,8,35,100,109,15,71,111,61,56,60,38,78,14,11,28,21,3,78,65,86,46,65,51,24,69,36
Joe McGuirk,611,33,25,39,18,,6,49,25,19,13,15,14,4,13,11,18,27,12,38,25,7,6,15,4,2,22,31,10,22,23,16,8,24,17
Gregg J. Moree,80,5,2,3,2,1,1,3,3,3,,,4,,1,4,1,,1,2,6,3,,2,1,,3,2,1,5,3,7,4,6,1
Patricia M. Nolan,1971,29,27,20,17,2,18,21,20,11,25,35,58,9,30,29,43,63,55,61,102,30,5,45,73,4,251,198,133,131,143,86,24,110,63
Frantz Pierre,355,11,1,10,72,,2,16,8,9,29,20,7,6,16,12,7,16,,2,8,1,2,1,3,1,4,14,13,6,8,18,17,7,8
Sumbul Siddiqui,4124,102,80,112,121,6,43,89,64,50,65,130,113,43,134,171,142,139,113,126,131,49,29,79,60,13,143,188,139,189,174,201,428,267,191
E. Denise Simmons,1764,58,35,76,135,1,23,40,31,23,78,110,76,16,97,102,52,70,37,58,30,20,9,24,21,3,47,62,53,57,46,84,58,64,68
Theodora Theo Skeadas,813,14,18,7,13,3,5,16,20,8,16,30,48,11,22,30,27,34,23,38,45,21,6,23,27,5,42,55,36,31,28,17,15,56,23
Jivan Sobrinho-Wheeler,1225,28,33,45,22,5,17,47,30,18,36,53,38,11,67,41,50,64,51,47,39,13,15,25,20,1,27,43,36,52,43,32,27,94,55
Paul F. Toner,1703,86,103,95,8,1,6,100,24,14,6,17,14,6,16,23,18,37,14,70,23,7,5,24,29,2,86,135,141,74,93,36,26,167,197
Nicola A. Williams,1159,17,15,13,23,,7,18,24,23,17,69,37,5,28,27,14,64,24,27,73,22,8,34,76,5,81,65,27,72,83,40,25,67,29
Quinton Y. Zondervan,1295,37,32,36,33,3,18,83,28,22,53,41,51,13,55,43,32,55,35,61,40,30,15,24,39,3,34,68,42,46,47,49,17,64,46
Write In,33,2,,1,3,,3,,2,1,3,,,1,5,3,,,2,1,,,,,2,,,,,,,2,,1,1
Blank / Invalid,260,12,9,7,12,,9,8,1,1,7,6,5,,10,14,3,6,10,16,5,9,1,7,4,,20,8,10,9,6,10,16,10,9
Totals,22074,653,574,633,617,107,277,663,360,258,555,787,738,181,712,813,626,872,586,765,827,302,144,458,514,56,1089,1161,873,1082,1094,822,782,1205,888
