Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8
"Fantini, Alfred B.",2372,-187,2185,0,2185,0,2185,0,2185,0,2185,0,2185,0,2185
"Forster, Bill",330,12,342,2,344,21,365,-365,0,0,0,0,0,0,0
"Gerber, Joyce C.",434,7,441,1,442,12,454,115,569,72,641,-641,0,0,0
"Harding, Richard, Jr.",1851,42,1893,2,1895,75,1970,20,1990,41,2031,107,2138,0,2185
"Holland, John J.",388,18,406,1,407,9,416,32,448,-448,0,0,0,0,0
"McGovern, Marc C.",1771,30,1801,2,1803,24,1827,33,1860,80,1940,92,2032,47,2185
"Nolan, Patricia M.",2126,20,2146,2,2148,11,2159,26,2185,0,2185,0,2185,0,2185
"Osborne, Mervan F.",2065,9,2074,2,2076,36,2112,41,2153,32,2185,0,2185,153,2185
"Stead, Charles Lewis, Sr.",293,9,302,2,304,-304,0,0,0,0,0,0,0,0,0
"Tauber, Nancy",1490,19,1509,0,1509,30,1539,22,1561,59,1620,142,1762,-1762,0
"Turkel, Alice L.",2112,21,2133,1,2134,25,2159,23,2182,3,2185,0,2185,0,2185
Write-In P1,43,0,43,-43,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,15,0,15,-15,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,43,43,61,104,53,157,161,318,300,618,1562,2180
Invalid,614,0,614,0,614,0,614,0,614,0,614,0,614,0,614
Total,15904,0,15904,0,15904,0,15904,0,15904,0,15904,0,15904,0,15904
,,,,,,,,,,,,,,,
Election Date,11/8/2011,,,,,,,,,,,,,,
Dates Counted,11/8/2011,11/9/2011,,,,,,,,,,,,,
Total,15904,,,,,,,,,,,,,,
Quota,2185,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,
1,"Fantini, Alfred B.",,,,,,,,,,,,,,
2,"Nolan, Patricia M.",,,,,,,,,,,,,,
3,"Turkel, Alice L.",,,,,,,,,,,,,,
4,"Osborne, Mervan F.",,,,,,,,,,,,,,
5,"Harding, Richard, Jr.",,,,,,,,,,,,,,
6,"McGovern, Marc C.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/2011municipalelection/schoolcommitteeofficialresults.pdf,,,,,,,,,,,,,,
