Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10
"Bowman, Manikka L.",1488,53,1541,21,1562,0,1562,2,1564,55,1619,121,1740,169,1909,259,2168,232,2400
"Cisternino, Pia",657,61,718,24,742,0,742,1,743,31,774,-774,0,0,0,0,0,0,0
"Cronin, Fran Albin",1418,92,1510,38,1548,0,1548,4,1552,33,1585,100,1685,80,1765,129,1894,-1894,0
"Crutchfield, Jake W.",1221,30,1251,10,1261,0,1261,1,1262,45,1307,104,1411,104,1515,-1515,0,0,0
"Dexter, Emily R.",1402,79,1481,15,1496,0,1496,3,1499,41,1540,123,1663,93,1756,271,2027,373,2400
"Fantini, Alfred B.",2721,0,2721,-321,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400
"Harding, Jr., Richard",1989,67,2056,125,2181,0,2181,4,2185,78,2263,62,2325,75,2400,0,2400,0,2400
"Kadete, Elechi M.",427,13,440,5,445,0,445,1,446,-446,0,0,0,0,0,0,0,0,0
"Kelly, Kathleen M.",1710,170,1880,66,1946,0,1946,6,1952,49,2001,83,2084,110,2194,206,2400,0,2400
"Nolan, Patricia M.",3006,-606,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400
"Weinstein, David J.",696,39,735,17,752,0,752,1,753,40,793,56,849,-849,0,0,0,0,0
Write-In 1,61,2,63,0,63,0,63,-63,0,0,0,0,0,0,0,0,0,0,0
Write-In 2,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,1,1,40,41,74,115,125,240,218,458,650,1108,1289,2397
Total,16797,0,16797,0,16797,0,16797,0,16797,0,16797,0,16797,0,16797,0,16797,0,16797
,,,,,,,,,,,,,,,,,,,
Date,"November 13, 2015",,,,,,,,,,,,,,,,,,
Total,17859,,,,,,,,,,,,,,,,,,
Quota,2400,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,
1,"Nolan, Patricia M.",,,,,,,,,,,,,,,,,,
2,"Fantini, Alfred B.",,,,,,,,,,,,,,,,,,
3,"Harding, Jr., Richard",,,,,,,,,,,,,,,,,,
4,"Kelly, Kathleen M.",,,,,,,,,,,,,,,,,,
5,"Bowman, Manikka L.",,,,,,,,,,,,,,,,,,
6,"Dexter, Emily R.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2015/11/2015municipalelectionresults,,,,,,,,,,,,,,,,,,
