Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9
"Bhambi, Akriti",3017,0,3017,0,3017,-157,2860,0,2860,0,2860,0,2860,0,2860,0,2860
"Fantini, Alfred B.",3070,0,3070,-210,2860,0,2860,0,2860,0,2860,0,2860,0,2860,0,2860
"Hunter, Caroline M.",1456,220,1676,49,1725,35,1760,15,1775,1,1776,199,1975,437,2412,-2412,0
"Johnson, Daria A.",1026,333,1359,11,1370,25,1395,11,1406,1,1407,125,1532,-1532,0,0,0
"Lim, Christopher",1093,88,1181,30,1211,16,1227,11,1238,3,1241,-1241,0,0,0,0,0
"Villarreal, Jos Luis Rojas",1569,373,1942,68,2010,41,2051,19,2070,0,2070,374,2444,383,2827,33,2860
"Weinstein, David J.",1617,310,1927,52,1979,40,2019,34,2053,1,2054,219,2273,361,2634,226,2860
"Weinstein, Rachel B.",2950,0,2950,0,2950,0,2950,-90,2860,0,2860,0,2860,0,2860,0,2860
"Wilson, Ayesha",4184,-1324,2860,0,2860,0,2860,0,2860,0,2860,0,2860,0,2860,0,2860
Write-In 1,32,0,32,0,32,0,32,0,32,-32,0,0,0,0,0,0,0
Write-In 3,1,0,1,0,1,0,1,0,1,-1,0,0,0,0,0,0,0
Write-In 6,2,0,2,0,2,0,2,0,2,-2,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,0,0,0,0,29,29,324,353,351,704,2153,2857
Total,20017,0,20017,0,20017,0,20017,0,20017,0,20017,0,20017,0,20017,0,20017
,,,,,,,,,,,,,,,,,
Date,"November 12, 2021",,,,,,,,,,,,,,,,
Total,21841,,,,,,,,,,,,,,,,
Quota,2860,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,
1,"Wilson, Ayesha",,,,,,,,,,,,,,,,
2,"Fantini, Alfred B.",,,,,,,,,,,,,,,,
3,"Bhambi, Akriti",,,,,,,,,,,,,,,,
4,"Weinstein, Rachel B.",,,,,,,,,,,,,,,,
5,"Villarreal, Jos Luis Rojas",,,,,,,,,,,,,,,,
6,"Weinstein, David J.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2021/11/2021municipalelectionofficialresults,,,,,,,,,,,,,,,,
